country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
Birmingham,25-34,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.492188', 'street': {'id': 1258588, 'name': 'On or near Hadfield Croft'}, 'longitude': '-1.906624'}"
Birmingham,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,,,Controlled drugs,"{'latitude': '52.478199', 'street': {'id': 1255908, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.894919'}"
Birmingham,18-24,White - Any other White background,,,Offensive weapons,"{'latitude': '52.476815', 'street': {'id': 1255961, 'name': 'On or near Shopping Area'}, 'longitude': '-1.895378'}"
Birmingham,18-24,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.481861', 'street': {'id': 1256004, 'name': 'On or near Bartholomew Row'}, 'longitude': '-1.888932'}"
Birmingham,18-24,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.482005', 'street': {'id': 1256000, 'name': 'On or near Chapel Street'}, 'longitude': '-1.889197'}"
Birmingham,25-34,Asian/Asian British - Bangladeshi,,Asian,Controlled drugs,"{'latitude': '52.476218', 'street': {'id': 1255925, 'name': 'On or near Suffolk Place'}, 'longitude': '-1.901387'}"
Birmingham,18-24,Asian/Asian British - Any other Asian background,,Asian,Controlled drugs,"{'latitude': '52.476218', 'street': {'id': 1255925, 'name': 'On or near Suffolk Place'}, 'longitude': '-1.901387'}"
Birmingham,18-24,Asian/Asian British - Any other Asian background,,,Controlled drugs,"{'latitude': '52.476218', 'street': {'id': 1255925, 'name': 'On or near Suffolk Place'}, 'longitude': '-1.901387'}"
Birmingham,10-17,White - English/Welsh/Scottish/Northern Irish/British,,,Offensive weapons,"{'latitude': '52.476997', 'street': {'id': 1255930, 'name': 'On or near Queens Drive'}, 'longitude': '-1.898485'}"
Birmingham,25-34,Black/African/Caribbean/Black British - African,,,Stolen goods,"{'latitude': '52.477535', 'street': {'id': 1255905, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.896319'}"
Birmingham,18-24,Other ethnic group - Not stated,,,Controlled drugs,"{'latitude': '52.476614', 'street': {'id': 1255950, 'name': 'On or near Nightclub'}, 'longitude': '-1.892331'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.474039', 'street': {'id': 1255936, 'name': 'On or near Inge Street'}, 'longitude': '-1.897961'}"
Birmingham,18-24,Other ethnic group - Not stated,,,Controlled drugs,"{'latitude': '52.476614', 'street': {'id': 1255950, 'name': 'On or near Nightclub'}, 'longitude': '-1.892331'}"
Birmingham,,,,,Controlled drugs,"{'latitude': '52.483399', 'street': {'id': 1256141, 'name': 'On or near Newhall Hill'}, 'longitude': '-1.911045'}"
